Feature,Importance
sensor_2_t-14,0.0005604121
sensor_4_t-16,0.00055888825
op_setting_2_t-8,0.0005547918
sensor_7_t-11,0.0005512965
sensor_8_t-12,0.0005504468
sensor_21_t-9,0.0005500499
sensor_7_t-19,0.0005488048
sensor_21_t-6,0.0005478992
sensor_4_t-19,0.0005466523
sensor_12_t-21,0.00054506754
sensor_15_t-11,0.0005426863
sensor_20_t-7,0.00054017093
op_setting_2_t-22,0.000539932
sensor_20_t-18,0.00053905277
sensor_11_t-21,0.0005361773
sensor_9_t-25,0.00053549855
sensor_2_t-19,0.0005350798
sensor_21_t-8,0.0005345432
sensor_12_t-19,0.00053433765
sensor_3_t-25,0.0005339628
sensor_7_t-20,0.000528085
op_setting_1_t-7,0.00052744104
sensor_9_t-18,0.0005264252
sensor_7_t-22,0.000525173
sensor_3_t-12,0.00052481965
sensor_15_t-29,0.0005236466
sensor_21_t-19,0.00052222464
sensor_9_t-24,0.00052189524
sensor_7_t-21,0.0005198191
sensor_15_t-24,0.0005188681
sensor_7_t-15,0.0005174095
sensor_11_t-12,0.00051329535
sensor_15_t-10,0.00051306107
op_setting_2_t-21,0.00051255984
sensor_4_t-18,0.0005120438
sensor_11_t-15,0.0005114375
op_setting_1_t-15,0.0005102226
sensor_3_t-24,0.0005084299
sensor_21_t-3,0.00050746865
sensor_11_t-13,0.0005073821
sensor_20_t-21,0.0005062437
sensor_21_t-20,0.0005046857
sensor_21_t-28,0.0004943472
sensor_11_t-20,0.0004933487
sensor_20_t-16,0.00049192866
sensor_3_t-16,0.000490078
sensor_11_t-9,0.0004897617
sensor_9_t-28,0.00048785025
sensor_2_t-25,0.000487284
sensor_3_t-23,0.0004842912
sensor_8_t-11,0.0004827711
sensor_3_t-6,0.00047833068
op_setting_1_t-13,0.00047667767
sensor_8_t-16,0.0004699789
sensor_12_t-17,0.00046966932
sensor_21_t-23,0.00046918116
sensor_4_t-13,0.00046900767
sensor_17_t-18,0.00046832213
sensor_9_t-23,0.0004683193
sensor_2_t-22,0.00046808473
sensor_4_t-12,0.00046732803
op_setting_1_t-11,0.00046655856
sensor_2_t-24,0.00046596036
sensor_3_t-14,0.0004646675
sensor_17_t-6,0.00046425243
sensor_15_t-22,0.00046225908
sensor_9_t-21,0.0004598795
sensor_20_t-9,0.0004588143
sensor_3_t-27,0.00045870277
sensor_15_t-6,0.00045748122
sensor_15_t-16,0.00045528563
sensor_3_t-8,0.00045440745
op_setting_2_t-26,0.00045015747
sensor_8_t-10,0.0004488709
sensor_17_t-9,0.0004488264
sensor_6_t-27,0.00044326152
sensor_21_t-12,0.00044318583
sensor_21_t-26,0.0004418018
sensor_11_t-19,0.0004393893
sensor_15_t-21,0.00043112496
sensor_20_t-10,0.00043096702
op_setting_1_t-24,0.00043040063
sensor_20_t-23,0.00042897003
sensor_20_t-13,0.0004268091
sensor_2_t-21,0.00042624847
op_setting_1_t-22,0.00042583907
op_setting_2_t-28,0.00042538176
sensor_7_t-10,0.00042281067
sensor_15_t-13,0.0004219614
sensor_21_t-16,0.00041843485
sensor_3_t-28,0.00041454093
sensor_15_t-8,0.00041414093
sensor_17_t-4,0.0004100711
sensor_15_t-18,0.0004089929
sensor_13_t-22,0.00040732342
op_setting_2_t-13,0.0004072922
op_setting_1_t-27,0.00040392255
sensor_11_t-14,0.00040371667
sensor_3_t-18,0.0004035678
sensor_21_t-22,0.00040187076
sensor_8_t-13,0.00040008232
sensor_21_t-15,0.00039970636
op_setting_2_t-24,0.00039957862
sensor_21_t-14,0.00039925592
sensor_2_t-18,0.00039720596
op_setting_1_t-14,0.00039241783
sensor_7_t-9,0.00039178383
op_setting_1_t-8,0.00039147792
sensor_13_t-21,0.00039035705
sensor_3_t-15,0.00038642314
op_setting_2_t-10,0.00038524097
sensor_7_t-7,0.0003845683
sensor_17_t-22,0.0003836356
sensor_20_t-11,0.0003822116
sensor_2_t-29,0.00038184997
sensor_17_t-8,0.0003795059
sensor_2_t-10,0.00037906505
sensor_9_t-7,0.00037773087
sensor_17_t-25,0.0003742544
sensor_15_t-17,0.0003727428
op_setting_2_t-12,0.00037093493
op_setting_2_t-3,0.00036836532
sensor_17_t-12,0.00036615043
sensor_12_t-14,0.00036483645
op_setting_2_t-1,0.00036074012
sensor_4_t-14,0.00035995356
sensor_3_t-19,0.0003584358
op_setting_1_t-2,0.00035797394
sensor_15_t-14,0.00035779004
sensor_20_t-22,0.00035753634
sensor_15_t-19,0.00035743613
sensor_13_t-23,0.00035548164
sensor_12_t-12,0.00035479348
sensor_15_t-20,0.00035286925
sensor_20_t-26,0.00035199584
sensor_17_t-21,0.0003499501
sensor_7_t-13,0.00034934335
sensor_3_t-21,0.0003464146
sensor_7_t-14,0.00034251594
sensor_2_t-11,0.00034233683
sensor_11_t-18,0.00034099235
op_setting_2_t-19,0.0003376088
op_setting_1_t-9,0.00033630518
sensor_2_t-16,0.0003327653
sensor_3_t-11,0.000331214
op_setting_2_t-16,0.00032385287
op_setting_1_t-19,0.00031779098
op_setting_2_t-20,0.0003168404
sensor_20_t-20,0.00031621873
sensor_15_t-12,0.00031237365
sensor_9_t-13,0.00031208526
op_setting_1_t-25,0.00031141206
sensor_17_t-13,0.00030840884
op_setting_1_t-18,0.0003081199
op_setting_2_t-0,0.0003035502
op_setting_1_t-17,0.00030211348
op_setting_1_t-28,0.000300681
op_setting_1_t-26,0.00029653756
sensor_8_t-20,0.0002960823
sensor_20_t-12,0.000295567
sensor_4_t-10,0.00029549364
op_setting_2_t-18,0.00028767262
op_setting_2_t-23,0.0002871114
sensor_3_t-13,0.00028483843
op_setting_1_t-4,0.00028042545
sensor_3_t-20,0.0002796646
sensor_17_t-20,0.00027719606
op_setting_2_t-2,0.00027126604
op_setting_1_t-6,0.00026941215
sensor_13_t-17,0.00026921456
sensor_21_t-13,0.00026813772
sensor_17_t-10,0.00026464247
sensor_17_t-28,0.0002572643
sensor_17_t-26,0.0002553682
sensor_11_t-10,0.0002507709
op_setting_1_t-3,0.0002441787
sensor_15_t-15,0.00023996772
sensor_3_t-29,0.00023829904
op_setting_2_t-6,0.00022135633
op_setting_1_t-0,0.00022113942
sensor_17_t-15,0.00021758516
op_setting_1_t-12,0.00021308575
sensor_13_t-20,0.00020613342
op_setting_2_t-9,0.0002047418
sensor_13_t-12,0.00019599733
sensor_17_t-24,0.00019044946
op_setting_2_t-5,0.00018595858
op_setting_1_t-20,0.00017901261
op_setting_1_t-21,0.00017406982
op_setting_1_t-10,0.00016021721
op_setting_2_t-15,0.000155036
op_setting_2_t-27,0.00013738367
sensor_13_t-16,0.00012142754
op_setting_1_t-29,7.6726436e-05
sensor_17_t-27,7.367438e-05
op_setting_2_t-29,6.983772e-05
sensor_17_t-17,5.2212756e-05
sensor_17_t-14,3.453435e-05
op_setting_2_t-25,2.0009424e-05
sensor_17_t-11,9.573088e-06
sensor_6_t-10,0.0
sensor_6_t-15,0.0
sensor_6_t-5,0.0
sensor_6_t-14,0.0
sensor_8_t-14,0.0
sensor_13_t-15,0.0
sensor_6_t-6,0.0
sensor_6_t-12,0.0
sensor_6_t-13,0.0
sensor_6_t-11,0.0
sensor_6_t-9,0.0
sensor_6_t-0,0.0
sensor_6_t-8,0.0
sensor_6_t-28,0.0
sensor_17_t-29,0.0
sensor_6_t-7,0.0
sensor_6_t-16,0.0
sensor_6_t-21,0.0
sensor_6_t-20,0.0
sensor_17_t-19,0.0
sensor_6_t-3,0.0
sensor_6_t-4,0.0
sensor_6_t-17,0.0
sensor_6_t-18,0.0
sensor_6_t-19,0.0
sensor_6_t-25,0.0
sensor_6_t-24,0.0
sensor_6_t-2,0.0
sensor_6_t-23,0.0
sensor_6_t-22,0.0
sensor_6_t-26,0.0
sensor_6_t-29,0.0
sensor_6_t-1,0.0
