Feature,Importance
sensor_11_t-31,40.516123174765966
sensor_20_t-13,39.637452343917055
sensor_11_t-20,39.198213059139164
sensor_11_t-4,38.209764487634395
sensor_15_t-19,37.9710180768996
sensor_12_t-12,36.22531916150925
sensor_14_t-23,35.66434818963843
sensor_4_t-4,33.987481376350566
sensor_4_t-3,32.52976656386778
sensor_15_t-24,28.152293520990973
sensor_11_t-9,27.137431247268648
sensor_2_t-32,26.447500277270592
op_setting_2_t-17,26.20351693570274
op_setting_1_t-20,26.102896678331454
sensor_8_t-18,25.552963399055365
sensor_17_t-2,25.282615071520272
sensor_11_t-37,24.105897053954592
sensor_20_t-28,23.988236673826176
sensor_15_t-29,23.30868802084709
op_setting_1_t-0,23.100062449753537
sensor_21_t-29,22.997314450418784
sensor_11_t-34,22.942131561042807
sensor_4_t-29,22.883867837404168
sensor_7_t-4,21.99811590007329
sensor_13_t-2,21.08188175479271
sensor_7_t-12,20.948287777995542
sensor_13_t-20,20.56634801473828
sensor_8_t-17,20.560313643441624
sensor_11_t-17,20.367001497905786
sensor_11_t-35,20.271366786019122
sensor_15_t-18,19.68618639609569
sensor_9_t-32,19.320487203881463
sensor_21_t-19,19.23300493362324
sensor_7_t-32,18.429195179261615
sensor_4_t-8,18.0722987091698
sensor_9_t-1,17.580237495684283
sensor_15_t-13,16.568898390280847
sensor_15_t-7,16.261909500727594
sensor_3_t-9,16.101828942405586
sensor_17_t-0,15.970968421489788
sensor_8_t-0,15.668955570526775
sensor_12_t-32,15.380990749845914
sensor_8_t-3,14.891446886665165
sensor_13_t-24,14.670430777727342
sensor_15_t-11,13.408319589747691
sensor_12_t-26,13.392936661680162
sensor_12_t-36,13.340117789245166
sensor_20_t-27,12.976041705774827
sensor_11_t-25,12.642448744084836
sensor_7_t-9,12.462531012494475
sensor_4_t-14,12.101775989270358
sensor_17_t-1,11.911598838365649
sensor_13_t-19,10.197888008278964
sensor_13_t-39,10.154505349300303
sensor_15_t-22,9.18615886818654
sensor_11_t-15,8.998340463371669
sensor_4_t-18,8.835157450122717
sensor_8_t-24,8.551458132579887
sensor_21_t-3,8.267586841295495
sensor_8_t-5,8.00892973914684
sensor_13_t-32,7.87963685614684
sensor_8_t-21,7.72263594143461
sensor_11_t-29,7.6892189771918575
sensor_2_t-8,7.530460347224962
sensor_13_t-17,7.395084059407098
sensor_8_t-23,7.3812848649640115
sensor_17_t-38,7.2764463320780655
sensor_4_t-22,7.030541007335167
sensor_9_t-12,6.6895614512223025
op_setting_1_t-17,6.565095791107361
sensor_11_t-7,6.50469156372394
sensor_7_t-24,6.37148825416377
sensor_7_t-39,6.2935089691767345
sensor_7_t-38,6.137755999523797
sensor_13_t-27,6.133203566903769
sensor_9_t-16,6.103299496770462
sensor_12_t-8,5.718878232722574
sensor_20_t-0,5.69989982134945
sensor_17_t-19,5.491493316946437
sensor_15_t-37,5.470642626298274
sensor_4_t-7,5.456278534951406
sensor_9_t-36,5.35562915174855
sensor_8_t-34,5.177354010693551
sensor_3_t-24,5.142775133432143
sensor_7_t-19,5.102907930697792
sensor_15_t-25,4.951034935220296
sensor_3_t-27,4.882594924401037
sensor_15_t-8,4.867934522063524
sensor_2_t-35,4.819218555695886
sensor_4_t-39,4.7493955026956005
sensor_3_t-19,4.639488539024164
sensor_9_t-6,4.625053856417524
sensor_21_t-20,4.611539791314604
sensor_3_t-3,4.565259978997181
sensor_13_t-37,4.544653570839663
sensor_15_t-35,4.453568465389125
sensor_2_t-21,4.397092857242503
sensor_8_t-26,4.390760828784728
sensor_7_t-10,4.374375261076178
sensor_12_t-20,4.365861462775019
sensor_21_t-35,4.253508364411812
sensor_15_t-26,4.247429614851582
sensor_15_t-2,4.112880226324346
sensor_3_t-14,4.098314021142363
sensor_21_t-31,4.027347411719722
sensor_21_t-7,4.006207468504868
sensor_21_t-11,3.9855968553761953
sensor_9_t-17,3.9721404235469997
sensor_8_t-37,3.908780657686323
sensor_14_t-3,3.7273974107731367
op_setting_1_t-8,3.667058239265276
sensor_20_t-22,3.5623054185331555
sensor_8_t-39,3.5236928585378853
sensor_15_t-1,3.4982648080169074
sensor_14_t-4,3.38885090121311
sensor_8_t-16,3.293277902464252
sensor_12_t-13,3.227544223071951
sensor_8_t-31,3.197665108493045
sensor_13_t-7,3.1100049992147474
sensor_21_t-12,3.1061988998304146
sensor_14_t-36,3.1007723175303763
sensor_21_t-21,3.0868059395803815
sensor_3_t-39,2.9603126570839144
sensor_13_t-13,2.9515052239463744
sensor_2_t-0,2.882643804214607
sensor_9_t-11,2.843648314867745
sensor_12_t-21,2.8020084866737953
sensor_7_t-28,2.7923049655243743
sensor_13_t-36,2.7156030538271527
sensor_7_t-16,2.6425869364993986
sensor_15_t-16,2.6272187406199468
sensor_4_t-16,2.605854746214831
sensor_7_t-25,2.6002441523551205
sensor_8_t-20,2.5223988985549344
sensor_3_t-18,2.442637365844229
sensor_3_t-23,2.3954422075338355
sensor_15_t-20,2.3890180139061665
sensor_21_t-0,2.3884051183536776
sensor_9_t-37,2.3722483310133673
sensor_20_t-35,2.301969439449868
sensor_11_t-8,2.2930588205297884
sensor_4_t-15,2.257405539960344
sensor_20_t-32,2.2181549207845244
sensor_12_t-39,2.1770949171549985
sensor_12_t-23,2.1516814923671848
sensor_2_t-31,2.1485902972541195
sensor_4_t-5,2.1165192058677134
sensor_15_t-30,2.049711120273261
sensor_12_t-3,1.9620251899887453
sensor_21_t-26,1.9434241154222858
sensor_2_t-22,1.9339782973365425
sensor_3_t-25,1.8921982415230039
sensor_20_t-11,1.8203930726050594
sensor_12_t-14,1.807637325786714
sensor_9_t-9,1.803952145917765
op_setting_1_t-3,1.8018147699162077
sensor_11_t-5,1.7981374912704466
sensor_11_t-12,1.786490815880508
sensor_7_t-2,1.7315432825357766
sensor_20_t-9,1.712009284963549
sensor_14_t-1,1.7114858189518527
sensor_17_t-27,1.705400370387092
sensor_15_t-39,1.6892304412914563
sensor_3_t-26,1.6157565361361677
sensor_11_t-21,1.6044664893431666
sensor_2_t-19,1.575327806126104
sensor_2_t-26,1.5516432849037003
sensor_4_t-36,1.548535810584523
sensor_21_t-37,1.5218090134818356
sensor_15_t-3,1.5027062557055428
sensor_20_t-2,1.4944040672146226
sensor_8_t-32,1.4719942917407247
sensor_11_t-3,1.4457916921817155
sensor_13_t-11,1.3671583476744888
sensor_4_t-38,1.3015892446566664
sensor_12_t-19,1.292920593740082
sensor_9_t-20,1.2837244843763886
op_setting_1_t-9,1.2630596677950832
sensor_15_t-36,1.2556830870614748
sensor_15_t-0,1.2175841646142542
sensor_21_t-4,1.2016181267237993
sensor_15_t-34,1.191329940586204
sensor_21_t-39,1.1912108377962272
sensor_20_t-34,1.1330821591244338
sensor_8_t-10,1.1162551860105467
sensor_11_t-16,1.0748141018922779
sensor_7_t-15,1.0452417844281983
sensor_9_t-18,1.0239511914301729
op_setting_1_t-15,1.0238513324341676
sensor_21_t-15,1.0213551153226248
sensor_9_t-7,1.0195502461514336
sensor_12_t-37,1.0117607436127616
sensor_8_t-2,1.0107800099965254
sensor_3_t-7,1.0069159741543996
sensor_4_t-12,0.980495715426958
sensor_3_t-22,0.9575423231605863
sensor_2_t-17,0.919824796625409
sensor_20_t-30,0.8911884036982077
sensor_8_t-36,0.8812247516093958
sensor_12_t-5,0.8725838065978221
op_setting_1_t-14,0.8278646351418938
sensor_21_t-38,0.8221089463995778
sensor_7_t-13,0.7997362670749767
sensor_3_t-6,0.7985624622651895
sensor_14_t-29,0.7891596565586204
sensor_17_t-28,0.780113961685093
sensor_15_t-14,0.7767202492977645
sensor_9_t-8,0.7450918920398982
sensor_13_t-12,0.7334287120715947
sensor_21_t-22,0.714226908997225
sensor_17_t-25,0.7011085044832314
sensor_3_t-1,0.6876848346062352
sensor_17_t-34,0.686107375975483
sensor_2_t-10,0.6401286811880047
sensor_2_t-2,0.6224735191237962
op_setting_1_t-13,0.6015083818970595
sensor_11_t-30,0.574640746069968
sensor_3_t-10,0.5594175716009443
sensor_12_t-34,0.5532582860427094
sensor_21_t-6,0.541811114070543
sensor_20_t-5,0.5155462454599583
sensor_21_t-24,0.5153808450241671
sensor_4_t-33,0.5052762275209747
sensor_12_t-28,0.5027520606986411
sensor_2_t-28,0.49618406993433145
sensor_17_t-6,0.4819752755599428
sensor_14_t-38,0.48170802113928907
sensor_12_t-10,0.478322793575599
sensor_11_t-19,0.4584683073346269
op_setting_1_t-39,0.45832967329982616
sensor_3_t-30,0.42015964531938443
sensor_20_t-3,0.41317069087539104
op_setting_2_t-10,0.40902338154435647
sensor_3_t-34,0.39765490545100446
sensor_12_t-18,0.377965168562733
sensor_4_t-21,0.37395835395134375
sensor_20_t-16,0.373013278329724
sensor_4_t-35,0.3573823381311503
sensor_4_t-20,0.35146863992832705
sensor_12_t-17,0.3491404599802928
sensor_21_t-9,0.34319354236925553
sensor_3_t-33,0.3371831627709207
sensor_4_t-23,0.33559306870012245
sensor_21_t-13,0.33522918730618406
sensor_20_t-29,0.3348190282646762
sensor_11_t-18,0.33385923568837017
sensor_20_t-6,0.3258200562468826
op_setting_2_t-7,0.3250721673262335
sensor_21_t-2,0.3116463176139385
sensor_8_t-29,0.3019509819761402
sensor_14_t-6,0.2989406939311699
sensor_11_t-13,0.29739968664498023
sensor_12_t-9,0.29369481014739046
sensor_8_t-38,0.2855139814691411
sensor_2_t-30,0.2842013806264312
sensor_14_t-9,0.2821975780310224
op_setting_1_t-21,0.2688688272638865
sensor_12_t-38,0.26866672913783496
sensor_13_t-5,0.2621013095596714
sensor_4_t-13,0.2572720463044876
sensor_3_t-17,0.22500319272626654
sensor_11_t-10,0.20056181406410384
sensor_7_t-36,0.18812316568174345
sensor_8_t-1,0.18719873121913178
sensor_12_t-7,0.17847636625983376
sensor_20_t-17,0.17175586813265128
sensor_20_t-33,0.17106923476964045
sensor_12_t-29,0.16665464539516922
sensor_13_t-4,0.1665883562550117
sensor_17_t-3,0.16209702776461396
sensor_15_t-10,0.15978080364469485
sensor_2_t-1,0.15776897317223446
op_setting_2_t-12,0.15754588234957478
sensor_4_t-31,0.1547949937743051
op_setting_2_t-26,0.1541342565259763
sensor_3_t-0,0.15410086457228733
op_setting_1_t-1,0.1483516749700671
sensor_9_t-5,0.14746295809842447
sensor_3_t-12,0.1456490523172467
sensor_4_t-10,0.14550774071188813
op_setting_1_t-6,0.14506541731519185
sensor_20_t-25,0.14406326233357494
sensor_12_t-35,0.14175989923871057
sensor_2_t-12,0.13872876834791573
sensor_14_t-11,0.13800953301004376
sensor_15_t-31,0.13735974474095897
sensor_9_t-4,0.1343302013158685
sensor_4_t-25,0.134102291784415
op_setting_1_t-4,0.13294167746832833
sensor_9_t-24,0.13076006385495445
sensor_14_t-14,0.1277409078211509
sensor_3_t-2,0.12627720029175732
sensor_14_t-37,0.12559458831257878
sensor_13_t-3,0.1212198659180951
sensor_9_t-23,0.11666699917117715
sensor_12_t-27,0.1136904740387723
sensor_9_t-13,0.11365372835037585
sensor_8_t-28,0.11107197214124132
sensor_14_t-35,0.10662255936172921
sensor_4_t-30,0.10419129875183784
sensor_21_t-10,0.10405070423291579
sensor_8_t-12,0.10065557409194946
sensor_11_t-6,0.10041377677625479
sensor_14_t-18,0.09857587555712978
sensor_17_t-22,0.09376831504527569
sensor_15_t-9,0.09364767184817974
sensor_8_t-19,0.09284657164749971
sensor_14_t-16,0.09086846358558832
sensor_11_t-27,0.09064849093490357
sensor_11_t-11,0.08723838496846018
sensor_21_t-33,0.08703540788721405
sensor_7_t-18,0.08585511285868855
sensor_8_t-33,0.08498082092207757
sensor_14_t-8,0.08293345315890693
sensor_14_t-33,0.08258384687703627
sensor_2_t-3,0.0824094539146735
sensor_14_t-7,0.0798663514814554
sensor_8_t-4,0.07961083956272719
sensor_7_t-7,0.07900195033641107
sensor_14_t-39,0.07720555074461564
sensor_8_t-6,0.07645048273527326
sensor_7_t-22,0.07410158198119983
sensor_21_t-18,0.07305148001001555
sensor_14_t-5,0.07270546656531651
sensor_20_t-4,0.07033443402595861
sensor_9_t-10,0.06788272986639597
sensor_2_t-5,0.06716837882577034
sensor_11_t-32,0.06637664385091946
sensor_7_t-31,0.06385514131427135
sensor_14_t-10,0.06371740474587609
sensor_7_t-11,0.0630843683589371
sensor_21_t-16,0.06265400522090538
sensor_4_t-9,0.062219391255687206
sensor_21_t-28,0.061984030582166595
sensor_8_t-35,0.06185972172555296
sensor_2_t-24,0.061338148571106865
sensor_3_t-20,0.061211284300225516
sensor_14_t-28,0.060727127775941324
sensor_21_t-27,0.05979936734700923
sensor_14_t-30,0.058267674576827376
sensor_2_t-4,0.05596536318437576
sensor_3_t-36,0.05576087976811312
sensor_21_t-8,0.055112283439093794
sensor_14_t-34,0.05392140034562935
sensor_3_t-31,0.05285644080177418
sensor_2_t-29,0.05269975630468573
sensor_12_t-25,0.0525027472472422
sensor_12_t-11,0.05169737474834846
sensor_21_t-5,0.05114434040242776
sensor_2_t-20,0.05103993922359419
sensor_15_t-6,0.05089505592422328
sensor_14_t-27,0.048775695512148706
sensor_14_t-12,0.04840452122208068
sensor_4_t-17,0.04613184225517874
sensor_14_t-26,0.04594881180088801
sensor_2_t-18,0.04444964127929455
sensor_3_t-28,0.04444760049872354
sensor_14_t-13,0.0438490046326191
sensor_14_t-31,0.04339734273585312
sensor_14_t-17,0.04285596396516419
sensor_3_t-37,0.04223610069141975
sensor_20_t-12,0.04162396234004562
sensor_2_t-6,0.04085521088356189
sensor_14_t-25,0.04084877619732615
sensor_2_t-7,0.040573357438491546
op_setting_2_t-14,0.03984665843089946
sensor_14_t-22,0.03983729678606051
sensor_14_t-32,0.03932597161838892
sensor_9_t-33,0.03825115044100544
sensor_15_t-38,0.036888152405817165
op_setting_1_t-29,0.036224798102017196
sensor_14_t-24,0.03576040157191323
sensor_9_t-34,0.03554245907616962
op_setting_2_t-6,0.03553174587505221
op_setting_1_t-18,0.03525137864145087
sensor_8_t-8,0.035199019357354464
sensor_7_t-20,0.034841555478547864
